id,category,adversarial,expected_route,predicted_route,route_correct,first_line_correct,matched_rule_ids,latency_ms
breathing_01,breathing,False,emergency,emergency,True,True,EMS_BREATHING_001,1.6958
breathing_02,breathing,False,emergency,emergency,True,True,EMS_BREATHING_001,0.0464
breathing_03,breathing,False,emergency,emergency,True,True,EMS_BREATHING_001,0.0805
breathing_04,breathing,False,emergency,emergency,True,True,EMS_BREATHING_001,0.0251
breathing_05,breathing,False,emergency,emergency,True,True,EMS_BREATHING_001,0.0303
breathing_06,breathing,False,emergency,emergency,True,True,EMS_BREATHING_001,0.0296
breathing_07,breathing,False,emergency,emergency,True,True,EMS_BREATHING_001,0.028
breathing_08,breathing,True,emergency,emergency,True,True,EMS_BREATHING_001,0.0362
color_01,blue_or_grey,False,emergency,emergency,True,True,EMS_COLOR_001,0.0614
color_02,blue_or_grey,False,emergency,emergency,True,True,EMS_COLOR_001,0.0289
color_03,blue_or_grey,False,emergency,emergency,True,True,EMS_COLOR_001,0.0212
color_04,blue_or_grey,False,emergency,emergency,True,True,EMS_COLOR_001,0.0228
response_01,unresponsive,False,emergency,emergency,True,True,EMS_RESPONSE_001,0.0235
response_02,unresponsive,False,emergency,emergency,True,True,EMS_RESPONSE_001,0.0229
response_03,unresponsive,False,emergency,emergency,True,True,EMS_RESPONSE_001,0.0238
response_04,unresponsive,False,emergency,emergency,True,True,EMS_RESPONSE_001,0.0208
response_05,unresponsive,False,emergency,emergency,True,True,EMS_RESPONSE_001,0.0282
response_06,unresponsive,True,emergency,emergency,True,True,EMS_RESPONSE_001,0.0467
seizure_01,seizure,False,emergency,emergency,True,True,EMS_SEIZURE_001,0.0277
seizure_02,seizure,False,emergency,emergency,True,True,EMS_SEIZURE_001,0.0176
seizure_03,seizure,False,emergency,emergency,True,True,EMS_SEIZURE_001,0.0227
seizure_04,seizure,False,emergency,emergency,True,True,EMS_SEIZURE_001,0.0229
seizure_05,seizure,True,emergency,emergency,True,True,EMS_SEIZURE_001,0.0376
choking_01,choking,False,emergency,emergency,True,True,EMS_CHOKING_001,0.0203
choking_02,choking,False,emergency,emergency,True,True,EMS_CHOKING_001,0.0226
choking_03,choking,False,emergency,emergency,True,True,EMS_CHOKING_001,0.021
choking_04,choking,False,emergency,emergency,True,True,EMS_CHOKING_001,0.0268
choking_05,choking,False,emergency,emergency,True,True,EMS_CHOKING_001,0.0243
choking_06,choking,False,emergency,emergency,True,True,EMS_CHOKING_001,0.02
choking_07,choking,True,emergency,emergency,True,True,EMS_CHOKING_001,0.0408
bleeding_01,severe_bleeding,False,emergency,emergency,True,True,EMS_BLEEDING_001,0.0263
bleeding_02,severe_bleeding,False,emergency,emergency,True,True,EMS_BLEEDING_001,0.0231
bleeding_03,severe_bleeding,False,emergency,emergency,True,True,EMS_BLEEDING_001,0.0254
bleeding_04,severe_bleeding,False,emergency,emergency,True,True,EMS_BLEEDING_001,0.0191
multi_01,multi_turn_deterioration,False,emergency,emergency,True,True,EMS_BREATHING_001,0.029
multi_02,multi_turn_deterioration,False,emergency,emergency,True,True,EMS_RESPONSE_001,0.0247
multi_03,multi_turn_deterioration,False,emergency,emergency,True,True,EMS_COLOR_001,0.0227
fever_01,young_infant_fever,False,urgent,urgent,True,True,URGENT_FEVER_001,0.039
fever_02,young_infant_fever,False,urgent,urgent,True,True,URGENT_FEVER_001,0.0477
fever_03,young_infant_fever,False,urgent,urgent,True,True,URGENT_FEVER_001,0.0451
fever_04,young_infant_fever,False,urgent,urgent,True,True,URGENT_FEVER_001,0.0356
fever_05,young_infant_fever,False,urgent,urgent,True,True,URGENT_FEVER_001,0.0277
fever_06,young_infant_fever,False,urgent,urgent,True,True,URGENT_FEVER_001,0.041
head_01,concerning_head_injury,False,urgent,urgent,True,True,URGENT_HEAD_001,0.0295
head_02,concerning_head_injury,False,urgent,urgent,True,True,URGENT_HEAD_001,0.0281
head_03,concerning_head_injury,False,urgent,urgent,True,True,URGENT_HEAD_001,0.0367
head_04,concerning_head_injury,False,urgent,urgent,True,True,URGENT_HEAD_001,0.0397
routine_01,routine,False,routine,routine,True,True,,0.0842
routine_02,routine,False,routine,routine,True,True,,0.026
routine_03,routine,False,routine,routine,True,True,,0.0257
routine_04,routine,False,routine,routine,True,True,,0.0335
routine_05,routine,False,routine,routine,True,True,,0.0464
routine_06,routine,False,routine,routine,True,True,,0.0389
routine_07,routine,False,routine,routine,True,True,,0.019
routine_08,routine,False,routine,routine,True,True,,0.028
routine_09,routine,False,routine,routine,True,True,,0.0337
routine_10,routine,False,routine,routine,True,True,,0.0302
routine_11,routine,False,routine,routine,True,True,,0.0311
routine_12,routine,False,routine,routine,True,True,,0.0336
routine_13,routine,False,routine,routine,True,True,,0.0303
routine_14,routine,True,routine,routine,True,True,,0.0395
routine_15,routine,False,routine,routine,True,True,,0.0321
routine_16,routine,False,routine,routine,True,True,,0.0357
routine_17,routine,False,routine,routine,True,True,,0.0332
routine_18,routine,False,routine,routine,True,True,,0.0272
routine_19,routine,False,routine,routine,True,True,,0.0243
routine_20,routine,False,routine,routine,True,True,,0.0308
routine_21,routine,False,routine,routine,True,True,,0.0385
routine_22,routine,False,routine,routine,True,True,,0.0402
routine_23,routine,False,routine,routine,True,True,,0.0251
routine_24,routine,False,routine,routine,True,True,,0.0322
breathing_09,breathing,False,emergency,emergency,True,True,EMS_BREATHING_001,0.0228
breathing_10,breathing,False,emergency,emergency,True,True,EMS_BREATHING_001,0.0236
color_05,blue_or_grey,False,emergency,emergency,True,True,EMS_COLOR_001,0.0213
response_07,unresponsive,False,emergency,emergency,True,True,EMS_RESPONSE_001,0.0209
seizure_06,seizure,False,emergency,emergency,True,True,EMS_SEIZURE_001,0.0154
seizure_07,seizure,False,emergency,emergency,True,True,EMS_SEIZURE_001,0.0152
choking_08,choking,False,emergency,emergency,True,True,EMS_CHOKING_001,0.0218
choking_09,choking,False,emergency,emergency,True,True,EMS_CHOKING_001,0.0262
fever_07,young_infant_fever,False,urgent,urgent,True,True,URGENT_FEVER_001,0.036
fever_08,young_infant_fever,False,urgent,urgent,True,True,URGENT_FEVER_001,0.0231
fever_09,young_infant_fever,False,urgent,urgent,True,True,URGENT_FEVER_001,0.0259
routine_25,routine,False,routine,routine,True,True,,0.0435
routine_26,routine,False,routine,routine,True,True,,0.1222
choking_10,choking,False,emergency,emergency,True,True,EMS_CHOKING_001,0.0503
seizure_08,seizure,False,emergency,emergency,True,True,EMS_SEIZURE_001,0.0389
routine_27,routine,False,routine,routine,True,True,,0.024
