question,kind,source,context_recall,faithfulness,answer_accuracy
When can babies start eating solid foods?,corpus,golden,0.5,0.7692307692307693,0.5
How much formula should a 6-month-old drink per feeding?,corpus,golden,0.0,0.5,0.5
The baby fell off the couch and is crying - what should I check?,memory,golden,0.0,0.14285714285714285,0.5
"How do I do safe feeding and choking prevention, and what other safe infant care",corpus,ragas-synthetic,0.0,,0.5
How many naps does a 9-month-old typically take?,corpus,golden,0.0,0.5,0.75
Does this baby have any food allergies I should know about?,memory,golden,0.6666666666666666,0.75,1.0
What is the baby's usual nap schedule?,memory,golden,1.0,0.6666666666666666,1.0
How long can prepared formula sit out before it's unsafe?,corpus,golden,0.0,0.09090909090909091,1.0
The baby has a diaper rash - what should I do?,corpus,golden,0.0,0.041666666666666664,0.75
What's the current guidance on introducing peanut to babies?,web,golden,0.0,0.09523809523809523,0.5
"As a Hispanic American parent or childcare provider, what steps can I take to lo",corpus,ragas-synthetic,0.8,0.38461538461538464,0.5
What foods are choking hazards for a 1-year-old?,corpus,golden,0.0,0.7777777777777778,0.5
How should I put the baby down to sleep safely?,corpus,golden,0.6666666666666666,0.6666666666666666,0.75
When should a baby be able to sit up on their own?,corpus,golden,0.0,0.3,0.5
Can a 15-month-old drink cow's milk?,corpus,golden,0.0,0.5714285714285714,0.5
"How do the ""early childhood development"" milestones in the CDC booklet connect w",corpus,ragas-synthetic,0.75,,0.5
Is honey safe for a 10-month-old?,corpus,golden,0.0,0.125,1.0
How do I safely warm a bottle of breast milk?,corpus,golden,0.0,0.07692307692307693,0.5
"How does breastfeeding affect mothers' health, and where is this discussed in th",corpus,ragas-synthetic,0.0,0.5555555555555556,0.25
what be milestones and why do they matter for my child?,corpus,ragas-synthetic,1.0,0.8461538461538461,0.5
What's a good bedtime routine for a 1-year-old?,corpus,golden,0.5,0.5625,0.5
What do I do if the baby is choking?,corpus,golden,0.0,0.1,1.0
"How does the ""Teacher support"" guidance and ""coordination with doctors and teach",corpus,ragas-synthetic,0.75,0.3333333333333333,0.75
Have there been any recent baby formula recalls I should know about?,web,golden,1.0,0.9090909090909091,0.0
My baby is 4 months old with a 38.2 C fever - what should I do?,corpus,golden,0.0,0.08333333333333333,0.5
"In Section 1 Introduction and the discussion of breast-milk substitutes, what do",corpus,ragas-synthetic,0.6,0.625,0.5
What infant and young child feeding practices are highlighted in the chapter con,corpus,ragas-synthetic,0.3333333333333333,,0.5
What does the Milestone Moments Booklet say a 2 month old baby should do?,corpus,ragas-synthetic,1.0,0.9166666666666666,1.0
Is it normal that my 8-month-old isn't crawling yet?,corpus,golden,0.0,0.2,0.5
