question,reference,source,kind
what be milestones and why do they matter for my child?,"Milestones are things most children can do by a certain age, and they give important clues about your child’s development. The booklet says to check the milestones your child has reached by each age and to talk to your child’s doctor at every well-child visit about what your child has reached and what to expect next.",ragas-synthetic,corpus
What does the Milestone Moments Booklet say a 2 month old baby should do?,"It says to check the milestones your baby has reached by 2 months. At this age, most babies may calm down when spoken to or picked up, look at your face, seem happy to see you when you walk up to her, smile when you talk to or smile at her, make sounds other than crying, react to loud sounds, watch you as you move, look at a toy for several seconds, hold head up when on tummy, move both arms and both legs, and open hands briefly.",ragas-synthetic,corpus
"As a Hispanic American parent or childcare provider, what steps can I take to lower my baby’s risk of SIDS and other sleep-related causes of infant death?","There is no sure way to prevent SIDS, but parents and caregivers can take steps to reduce the risk of SIDS and other sleep-related causes of infant death. Always place a baby on his or her back to sleep, for naps and at night, because the back sleep position is the safest position for all babies, including preterm babies. Every sleep time counts, so babies should sleep on their backs for all sleep times. Room sharing, which means keeping the baby’s sleep area in the same room where you sleep, also reduces the risk of SIDS and other sleep-related causes of infant death. In addition, use a firm sleep surface, such as a mattress in a safety-approved crib, because babies who sleep on a soft surface or under a soft covering are more likely to die of SIDS or suffocation.",ragas-synthetic,corpus
"How do the ""early childhood development"" milestones in the CDC booklet connect with ""parental responsiveness"" in the tips for helping a baby learn and grow, and what web-search-style guidance does the context give about how parents should support development from birth to age 5?","The context says that developmental milestones show what most children can do by a certain age, and that these milestones help parents and caregivers know what to look for from birth to age 5. It also says that how a child plays, learns, speaks, acts, and moves gives important clues about development, and that caregivers should check milestones, take the booklet to well-child visits, and talk with the child’s doctor about what has been reached and what to expect next. In the tips for helping a baby learn and grow, the booklet emphasizes parental responsiveness: respond positively, smile, and talk when the baby makes sounds; talk, read, and sing to help language development; cuddle and hold the baby so he or she feels safe and cared for; notice and respond to the baby’s signals; and limit screen time so you can be more responsive. The guidance also says that being responsive helps the baby learn and grow, and that parents should support development in safe ways by helping the baby explore, playing, and interacting with others.",ragas-synthetic,corpus
"How do I do safe feeding and choking prevention, and what other safe infant care tips help my baby learn and grow?","Look for hunger signs like putting hands to mouth, turning the head toward the breast or bottle, and smacking or licking lips, and stop feeding when your baby closes her mouth or turns away. Also, find out about choking risks and safe foods, let your baby practice feeding self with fingers and a cup with a small amount of water, and sit next to your baby at mealtime. For safe infant care, never shake your baby or let anyone else do it, put him in a safe place and walk away if you are upset, check on him every 5 to 10 minutes, and use safe routines for sleeping and feeding.",ragas-synthetic,corpus
"How does the ""Teacher support"" guidance and ""coordination with doctors and teachers"" in the milestone booklets help parents support a baby or child’s development, and what specific advice is given for talking with doctors and teachers in the 4-month and 1-to-2-year tips?","The context says that parents can support their child’s development by using the booklet’s tips and by talking with the child’s doctor and teachers for questions or more ideas. In the 1-to-2-year tips, it says, ""Talk with your child’s doctor and teachers if you have questions or for more ideas on how to help your child’s development."" In the 4-month tips, it gives similar guidance: ""Talk with your baby’s doctor and teachers if you have questions or for more ideas on how to help your baby’s development."" The booklet also provides practical ways to help development, such as repeating and adding to a child’s words, naming objects, helping with everyday activities, keeping steady routines for sleeping and feeding, singing songs with gestures, and saying what you think the child is feeling.",ragas-synthetic,corpus
"What infant and young child feeding practices are highlighted in the chapter contents, and how do the listed sections connect with the trends in exclusive breastfeeding and formula consumption shown for children under 2 years?","The context highlights infant and young child feeding practices through a chapter outline that includes breast-milk substitutes, infant and young child feeding practices, public health and economic impacts of poor IYCF practices, facilitating breastfeeding, complementary feeding, and supporting breastfeeding in perinatal care and the community. It also shows that, from 2000 to 2019, exclusive breastfeeding at age under 6 months and formula consumption at ages under 6 months and 6 to 23 months were tracked across 83 countries, with figures presented by country income group and world region. Together, these sections connect the practices discussed in the chapter with the observed trends in breastfeeding and formula use among children younger than 2 years.",ragas-synthetic,corpus
"In Section 1 Introduction and the discussion of breast-milk substitutes, what does the context say about the purpose and scope of the introduction, and how do the health outcomes described there relate to the risks associated with early exposure to breast-milk substitutes?","Section 1 Introduction includes the purpose and scope, recommendations, and health outcomes. In the later section on breast-milk substitutes, the context explains that early exposure to breast-milk substitutes, including commercial infant formula, carries dose-responsive health risks. Even a single dose can interfere with immune protection and diminish the long-term health provided by breastfeeding. The context also says that breast-milk substitutes can never be equivalent to breast milk, provide no protection from infectious disease, increase susceptibility to pathogens, and are easily contaminated, which can lead to infectious disease and life-threatening infections. It further states that exposure to breast-milk substitutes increases the risk of infectious morbidity and mortality in all countries, and that this effect is dose-dependent.",ragas-synthetic,corpus
"How does breastfeeding affect mothers' health, and where is this discussed in the breastfeeding section list?","Breastfeeding protects mothers from adverse health outcomes. Specifically, the risk of developing invasive breast cancer decreases by 6% for each year a woman breastfeeds, and the longer a woman breastfeeds, the lower her risk becomes. This topic is discussed in the breastfeeding material, alongside sections such as ""Facilitating breastfeeding"" and ""Continuing breastfeeding up to two years of age or beyond.""",ragas-synthetic,corpus
How much formula should a 6-month-old drink per feeding?,"Around 180-240 ml of formula per feeding, roughly 4-5 feedings per day at 6 months; exact amounts vary with the baby's appetite and whether solids have started.",golden,corpus
